language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
hi,whitespace_word,कहते,18,1,5,5,True,à¤ķ|à¤¹à¤¤|à¥ĩ,कह|े,"{""42"": ""कह|े"", ""43"": ""क|त|"", ""44"": ""कह||"", ""45"": ""क||े"", ""46"": ""क|ते""}"
hi,whitespace_word,फ़ोन,13,1,5,5,True,à¤«|à¤¼à¥ĭ|à¤¨,फ|ो|,"{""42"": ""फ|ो|"", ""43"": ""फ|ोन"", ""44"": ""फ़|न"", ""45"": ""फ़||"", ""46"": ""फ||न""}"
hi,whitespace_word,संगठन,13,1,5,5,True,à¤¸|à¤Ĥà¤Ĺà¤łà¤¨,सं|ठ|न,"{""42"": ""सं|ठ|न"", ""43"": ""स||ठन"", ""44"": ""सं|||न"", ""45"": ""सं|ठन"", ""46"": ""स|गठ|न""}"
hi,whitespace_word,नेशनल,11,1,5,5,True,à¤¨|à¥ĩà¤¶à¤¨à¤²,न||नल,"{""42"": ""न||नल"", ""43"": ""न|श||"", ""44"": ""न|||ल"", ""45"": ""न||||"", ""46"": ""न|शनल""}"
hi,whitespace_word,अफ़्रीका,10,1,5,5,True,à¤ħ|à¤«|à¤¼à¥į|à¤°|à¥Ģà¤ķ|à¤¾,अ||्र|का,"{""42"": ""अ||्र|का"", ""43"": ""अ|़्र|क|"", ""44"": ""अ|़्र|का"", ""45"": ""अ|़|र|का"", ""46"": ""अफ़्र|का""}"
hi,whitespace_word,शक्तिशाली,9,1,5,5,True,à¤¶à¤ķ|à¥įà¤¤|à¤¿à¤¶|à¤¾à¤²|à¥Ģ,शक|तिशा|ी,"{""42"": ""शक|तिशा|ी"", ""43"": ""श||तिशा||"", ""44"": ""श|||ति|शा|ी"", ""45"": ""श||ति|शा|ी"", ""46"": ""श||तिश||ी""}"
hi,whitespace_word,अंतरराष्ट्रीय,7,1,5,5,True,à¤ħ|à¤Ĥà¤¤à¤°à¤°|à¤¾à¤·|à¥įà¤Ł|à¥įà¤°|à¥Ģà¤¯,अ||ररा||ट्र|य,"{""42"": ""अ||ररा||ट्र|य"", ""43"": ""अ||ररा|्ट|र|य"", ""44"": ""अ|||रा||ट्र|य"", ""45"": ""अ|||रा|्ट|र|य"", ""46"": ""अं||रा|्ट्र|य""}"
hi,whitespace_word,श्रृंखला,7,1,5,5,True,à¤¶|à¥įà¤°|à¥ĥà¤Ĥ|à¤ĸà¤²|à¤¾,श|र|ंखला,"{""42"": ""श|र|ंखला"", ""43"": ""श|र|ंखल|"", ""44"": ""श्र|ंख|ा"", ""45"": ""श||र|ंखल|"", ""46"": ""श||र|ंख|ा""}"
hi,whitespace_word,कहा।,6,1,5,5,True,à¤ķà¤¹|à¤¾à¥¤,कह|।,"{""42"": ""कह|।"", ""43"": ""कह||"", ""44"": ""क|||"", ""45"": ""कहा।"", ""46"": ""क|ा|""}"
hi,whitespace_word,घरेलू,5,1,5,5,True,à¤ĺà¤°|à¥ĩà¤²|à¥Ĥ,घ|||लू,"{""42"": ""घ|||लू"", ""43"": ""घ|र|लू"", ""44"": ""घ|र|ल|"", ""45"": ""घ||ल|"", ""46"": ""घर|लू""}"
hi,whitespace_word,पंखों,5,1,5,5,True,à¤ª|à¤Ĥà¤ĸ|à¥ĭà¤Ĥ,प|ख||,"{""42"": ""प|ख||"", ""43"": ""पंख|ं"", ""44"": ""प|ख|ं"", ""45"": ""पं||ं"", ""46"": ""प|||ं""}"
hi,whitespace_word,एसोसिएशन,4,1,5,5,True,à¤ıà¤¸|à¥ĭà¤¸|à¤¿à¤ıà¤¶à¤¨,ए||सि|एश|,"{""42"": ""ए||सि|एश|"", ""43"": ""एसोसि|एशन"", ""44"": ""एस||ि|एशन"", ""45"": ""ए||स||एशन"", ""46"": ""ए||सि|एशन""}"
hi,whitespace_word,संबंधी,4,1,5,5,True,à¤¸|à¤Ĥà¤¬|à¤Ĥà¤§|à¥Ģ,स||ंध|,"{""42"": ""स||ंध|"", ""43"": ""स||ं||"", ""44"": ""स||ंध||"", ""45"": ""संबंध||"", ""46"": ""सं|ंध||""}"
hi,whitespace_word,एफबीआई,3,1,5,5,True,à¤ıà¤«|à¤¬|à¥Ģà¤Ĩà¤Ī,ए|||आ|,"{""42"": ""ए|||आ|"", ""43"": ""ए|||आई"", ""44"": ""ए|ब|आ|"", ""45"": ""एफब|आई"", ""46"": ""एफब|आ|""}"
hi,whitespace_word,कंटेंट,3,1,5,5,True,à¤ķ|à¤Ĥà¤Ł|à¥ĩà¤Ĥ|à¤Ł,क||||ट,"{""42"": ""क||||ट"", ""43"": ""क|ट|ंट"", ""44"": ""कं||ं|"", ""45"": ""कंट|ंट"", ""46"": ""क|||ं|""}"
hi,whitespace_word,चूंकि,3,1,5,5,True,à¤ļ|à¥Ĥà¤Ĥ|à¤ķ|à¤¿,च|ंक|,"{""42"": ""च|ंक|"", ""43"": ""चूं||"", ""44"": ""च||कि"", ""45"": ""च|ं|ि"", ""46"": ""च|ंकि""}"
hi,whitespace_word,परिस्थितियों,3,1,5,5,True,à¤ªà¤°|à¤¿à¤¸|à¥įà¤¥|à¤¿à¤¤|à¤¿à¤¯|à¥ĭà¤Ĥ,प|ि|स्थि|ति|यों,"{""42"": ""प|ि|स्थि|ति|यों"", ""43"": ""परि|स्थि|तियों"", ""44"": ""प|ि|स्थि|तियों"", ""45"": ""परि|स्थि|ति|यों"", ""46"": ""परि|स|थि|ति|यों""}"
hi,whitespace_word,यूनेस्को,3,1,5,5,True,à¤¯|à¥Ĥà¤¨|à¥ĩà¤¸|à¥įà¤ķ|à¥ĭ,य|न|||क|,"{""42"": ""य|न|||क|"", ""43"": ""य||ेस|क|"", ""44"": ""य|न|स|क|"", ""45"": ""य|नेस|क|"", ""46"": ""यून|स|क|""}"
hi,whitespace_word,संगठनात्मक,3,1,5,5,True,à¤¸|à¤Ĥà¤Ĺà¤łà¤¨|à¤¾à¤¤|à¥įà¤®à¤ķ,स||ठ|न||्मक,"{""42"": ""स||ठ|न||्मक"", ""43"": ""स||ठ|ना|्मक"", ""44"": ""सं|||ना|्मक"", ""45"": ""सं|ठ|ना|्मक"", ""46"": ""संगठ|न||्मक""}"
hi,whitespace_word,सहमति,3,1,5,5,True,à¤¸|à¤¹à¤®|à¤¤|à¤¿,सहमति,"{""42"": ""सहमति"", ""43"": ""स||ति"", ""44"": ""सह|ति"", ""45"": ""स|मति"", ""46"": ""स|||ति""}"
hi,whitespace_word,2000,2,1,5,5,True,200|0,20|0|0,"{""42"": ""20|0|0"", ""43"": ""20|00"", ""44"": ""200|0"", ""45"": ""2000"", ""46"": ""2|0|00""}"
hi,whitespace_word,802.11n,2,1,5,5,True,80|2|.|11|n,8|02|.1|1n,"{""42"": ""8|02|.1|1n"", ""43"": ""80|2.1|1n"", ""44"": ""8|0|2.1|1n"", ""45"": ""8|02.1|1n"", ""46"": ""802.1|1n""}"
hi,whitespace_word,आनुवंशिक,2,1,5,5,True,à¤Ĩà¤¨|à¥ģà¤µ|à¤Ĥà¤¶|à¤¿à¤ķ,आ||वंश||क,"{""42"": ""आ||वंश||क"", ""43"": ""आ|ुवं|||क"", ""44"": ""आनुवं|ि|क"", ""45"": ""आ||वं|ि|क"", ""46"": ""आ|ुवं|ि|क""}"
hi,whitespace_word,इंटरएक्टिव,2,1,5,5,True,à¤ĩ|à¤Ĥà¤Łà¤°|à¤ıà¤ķ|à¥įà¤Ł|à¤¿à¤µ,इंटरएक|टि|व,"{""42"": ""इंटरएक|टि|व"", ""43"": ""इ|ंटरए||टि|व"", ""44"": ""इं|रएक|टि|व"", ""45"": ""इ|ंटरएक|टि|व"", ""46"": ""इंटरए||टि|व""}"
hi,whitespace_word,किताबों,2,1,5,5,True,à¤ķ|à¤¿à¤¤|à¤¾à¤¬|à¥ĭà¤Ĥ,किता|ों,"{""42"": ""किता|ों"", ""43"": ""कि|ता|ों"", ""44"": ""क|ता|ों"", ""45"": ""कि|ता||ं"", ""46"": ""क|ता||ं""}"
hi,whitespace_word,जेनेटिक,2,1,5,5,True,à¤ľ|à¥ĩà¤¨|à¥ĩà¤Ł|à¤¿à¤ķ,ज|नेटि|क,"{""42"": ""ज|नेटि|क"", ""43"": ""ज||न|टि|क"", ""44"": ""ज||न||ि|क"", ""45"": ""ज||नेटि|क"", ""46"": ""ज|नेटि||""}"
hi,whitespace_word,ढूँढना,2,1,5,5,True,à¤¢|à¥Ĥà¤ģ|à¤¢à¤¨|à¤¾,ढ||ँ|||ा,"{""42"": ""ढ||ँ|||ा"", ""43"": ""ढ|ँढना"", ""44"": ""ढ|ँढ|ना"", ""45"": ""ढ||ँढ|ना"", ""46"": ""ढ||ँढ||ा""}"
hi,whitespace_word,नीतियों,2,1,5,5,True,à¤¨|à¥Ģà¤¤|à¤¿à¤¯|à¥ĭà¤Ĥ,न||ि|य|ं,"{""42"": ""न||ि|य|ं"", ""43"": ""न|ति|यों"", ""44"": ""न|त|य|ं"", ""45"": ""न|त||य|ं"", ""46"": ""न||||य|ं""}"
hi,whitespace_word,पंजीकरण,2,1,5,5,True,à¤ª|à¤Ĥà¤ľ|à¥Ģà¤ķà¤°à¤£,पं||क|ण,"{""42"": ""पं||क|ण"", ""43"": ""प|ज|क|ण"", ""44"": ""प|||करण"", ""45"": ""पंजीक|ण"", ""46"": ""पं||करण""}"
hi,whitespace_word,फिनलैंड,2,1,5,5,True,à¤«|à¤¿à¤¨à¤²|à¥Īà¤Ĥ|à¤¡,फ||नल||ड,"{""42"": ""फ||नल||ड"", ""43"": ""फ||नल|ं|"", ""44"": ""फि|नल|ं|"", ""45"": ""फ||नल|ंड"", ""46"": ""फि|नल|ंड""}"
hi,whitespace_word,लाइसेंस,2,1,5,5,True,à¤²|à¤¾à¤ĩà¤¸|à¥ĩà¤Ĥ|à¤¸,ला|सेंस,"{""42"": ""ला|सेंस"", ""43"": ""ल||स|ंस"", ""44"": ""ला|स|ंस"", ""45"": ""ल||सेंस"", ""46"": ""ल||सें|""}"
hi,whitespace_word,सपनों,2,1,5,5,True,à¤¸|à¤ªà¤¨|à¥ĭà¤Ĥ,स|||ं,"{""42"": ""स|||ं"", ""43"": ""स|न|ं"", ""44"": ""स|न||"", ""45"": ""सपन||"", ""46"": ""सप|||""}"
hi,whitespace_word,सफलतापूर्वक,2,1,5,5,True,à¤¸à¤«|à¤²à¤¤|à¤¾à¤ª|à¥Ĥà¤°|à¥įà¤µà¤ķ,सफल||||र|वक,"{""42"": ""सफल||||र|वक"", ""43"": ""स||ता|ूर|वक"", ""44"": ""सफल|ा||र|वक"", ""45"": ""स|लता||र|वक"", ""46"": ""स||ता||र|वक""}"
hi,whitespace_word,सामग्रियों,2,1,5,5,True,à¤¸|à¤¾à¤®à¤Ĺ|à¥įà¤°|à¤¿à¤¯|à¥ĭà¤Ĥ,स||ग|रि|यों,"{""42"": ""स||ग|रि|यों"", ""43"": ""स||ग|रिय|ं"", ""44"": ""स||ग|रियों"", ""45"": ""सा|ग|रि|यों"", ""46"": ""सा|ग|रि|य|ं""}"
