language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
te,whitespace_word,ఆఫ్రికన్,6,1,5,5,True,à°Ĩ|à°«|à±įà°°|à°¿à°ķà°¨|à±į,ఆ|్రికన|,"{""42"": ""ఆ|్రికన|"", ""43"": ""ఆఫ|రి|కన|"", ""44"": ""ఆఫ|రికన|"", ""45"": ""ఆఫ్రి|కన|"", ""46"": ""ఆ||రి|కన|""}"
te,whitespace_word,పవిత్ర,4,1,5,5,True,à°ª|à°µ|à°¿à°¤|à±įà°°,ప|ిత|ర,"{""42"": ""ప|ిత|ర"", ""43"": ""ప|||త|ర"", ""44"": ""పవ||త|ర"", ""45"": ""పవిత|ర"", ""46"": ""పవ|త|ర""}"
te,whitespace_word,సందర్భాల్లో,4,1,5,5,True,à°¸|à°Ĥà°¦à°°|à±įà°Ń|à°¾à°²|à±įà°²|à±ĭ,స|దర|భా||ల|,"{""42"": ""స|దర|భా||ల|"", ""43"": ""సందర|భా||ల|"", ""44"": ""స|దర|భాల|లో"", ""45"": ""సందర|భా||లో"", ""46"": ""సందర|భాల|లో""}"
te,whitespace_word,జాబితాలో,3,1,5,5,True,à°ľ|à°¾à°¬|à°¿à°¤|à°¾à°²|à±ĭ,జ|ాబితా||,"{""42"": ""జ|ాబితా||"", ""43"": ""జ|ా|ితాల|"", ""44"": ""జ|ాబి|తాల|"", ""45"": ""జ|ా|ి|తాల|"", ""46"": ""జ|ా|ి|తా||""}"
te,whitespace_word,వెబ్‌సైట్‌లో,3,1,5,5,True,à°µ|à±Ĩà°¬|à±į|âĢ|Į|à°¸|à±Īà°Ł|à±į|âĢ|Į|à°²|à±ĭ,వ|బ|‌సైట|‌ల|,"{""42"": ""వ|బ|‌సైట|‌ల|"", ""43"": ""వ|||‌సైట|‌ల|"", ""44"": ""వ|||‌స|ట్‌ల|"", ""45"": ""వ|బ|‌స|ట్‌ల|"", ""46"": ""వ|బ|‌స|ట|‌ల|""}"
te,whitespace_word,సంఘటనల,3,1,5,5,True,à°¸|à°Ĥà°ĺà°Łà°¨à°²,సంఘట|నల,"{""42"": ""సంఘట|నల"", ""43"": ""స|ఘ|ట|నల"", ""44"": ""సంఘ|ట|నల"", ""45"": ""సంఘ|||నల"", ""46"": ""స|ఘట|నల""}"
te,whitespace_word,సమయాల్లో,3,1,5,5,True,à°¸|à°®à°¯|à°¾à°²|à±įà°²|à±ĭ,స||ా||ల|,"{""42"": ""స||ా||ల|"", ""43"": ""స|యా||లో"", ""44"": ""సమ|ా||లో"", ""45"": ""సమయాల|ల|"", ""46"": ""సమయా||ల|""}"
te,whitespace_word,2005లో,2,1,5,5,True,200|5|à°²|à±ĭ,2|00|5లో,"{""42"": ""2|00|5లో"", ""43"": ""2005లో"", ""44"": ""200|5లో"", ""45"": ""20|05|ల|"", ""46"": ""2|0|05|ో""}"
te,whitespace_word,ఆఫ్రికాకు,2,1,5,5,True,à°Ĩ|à°«|à±įà°°|à°¿à°ķ|à°¾à°ķ|à±ģ,ఆ||రికాక|,"{""42"": ""ఆ||రికాక|"", ""43"": ""ఆఫ్రికాక|"", ""44"": ""ఆ||రికా||"", ""45"": ""ఆ|్రి|కా||"", ""46"": ""ఆఫ్రికా||""}"
te,whitespace_word,ఆసుపత్రికి,2,1,5,5,True,à°Ĩà°¸|à±ģà°ªà°¤|à±įà°°|à°¿à°ķ|à°¿,ఆ||పత|రి|కి,"{""42"": ""ఆ||పత|రి|కి"", ""43"": ""ఆ||పత|రికి"", ""44"": ""ఆస|పత|రి|కి"", ""45"": ""ఆస|పత|రికి"", ""46"": ""ఆసుపత|రికి""}"
